Title,location,Posting_date,DESCRIPTION,BASIC QUALIFICATIONS,PREFERRED QUALIFICATIONS
Software Development Engineer,"US, WA, Seattle ","February  2, 2018","The Amazon Devices team designs and engineers high-profile consumer electronics, including the best-selling Kindle family of products. We have also produced groundbreaking devices like Fire tablets, Fire TV, Amazon Dash, and Amazon Echo. What will you help us create?Software Developers at Amazon work on real world problems on a global scale, own their systems end to end and influence the direction of our technology that impacts hundreds of millions customers around the world. At Amazon an SDE can expect to design flexible and scalable solutions, and work on some of the most complex challenges in large-scale computing in a high pace environment.The right candidate for this role enjoys taking on hard, ambiguous problems and breaking them down to their simple parts. They are creative, driven, and highly productive. They are a great team player who will naturally elevate the performance of the people around them. They have a track record of quickly picking up on complex technical systems.Responsibilities· Work with other senior leaders on the team to build the technical strategy & architecture for a broad area· Design & develop world class software and services· Mentor & grow engineers across the team, leading by example and insisting on high standards· Develop tools & processes to enable best-in-class operations for our services","· BS/MS in Engineering, Computer Science or related technical field· 5+ years of professional software development experience· Computer Science fundamentals including OO design, data structures, and algorithms· Modern programming language such as Java, C#, C, C++· Experience building scalable systems & applications from conception through successful delivery to customers","· Knowledge of a broad set of disparate technologies, ranging from front-end user interfaces through back-end systems and all points in between· Large scale distributed systems experience· Mobile development experience· Networking knowledge is a plusAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation"
Software Development Engineer (Backend) - AWS OpsWorks for Chef Automate - Berlin,"DE, Berlin ","February  2, 2018","The AWS OpsWorks team in Berlin is looking for YOU - a Software Development Engineer, who is passionate about distributed architectures, takes pride in designing and building reliable systems, and enjoys working with dedicated team members.Are you up for a challenge?The role will be focused on building and operating infrastructure management solutions that we offer as managed services to our customers. Our goal is to enable our customers to have the same level of operational excellence that we thrive for day to day.You will build new features and capabilities, that make OpsWorks the place to manage the infrastructure for our customers ranging from startups to large scale enterprises and you work closely with our customers to provide the best products and features for their use-case.As s team of Software Development and System Engineers we operate our business, develops features, and drives integration of new System Management offerings to our customers.Responsibilities include:· Designing and building systems running in AWS data-centers around the globe· Building and enhancing features based on customer demand· Monitoring and tweak performance and availability of our infrastructure to ensure we deliver the highest quality customer experience· Working directly with partners and other AWS cross-functional teams to improve integration of new offerings for our customers· Providing technical leadership and mentorship to junior engineersIf this sounds like the right mix of fun, challenge, and fits your core desires, apply!","· You hold a Bachelor’s Degree in Computer Science or related field, or 5+ years relevant work experience · You have 4+ years proficiency in any of Java and a scripting language like Bash, Ruby or Python· You have2+ years of operating services-oriented architectures and distributed systems· You are highly innovative, flexible and self-directed· You have a profound knowledge of data structures, algorithms· You have strong Linux systems administration skills· You have ability to take a project from scoping requirements through launch and to operation of the project in production","· You have ideally 5+ years development experience· You have development experience in a Linux or UNIX environment with good understanding of networking concepts· Knowledge in configuration management systems (Chef, Puppet, Salt Stack, Ansible) is desirable but not a must· You have experience in a 24/7 production environmentAmazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build."
Software Development Manager,"CA, BC, Vancouver ","February  1, 2018","The AWS Marketplace team is looking for a passionate, results-oriented, inventive software manager. The candidate thrives in a fast-paced environment, understands the cloud commerce space and will help us scale our business and impress our customers.As the development manager, you will have technical ownership of customer facing services and experiences. Youll lead a talented and nimble team of engineers to create innovative ways to grow our marketplace.Responsibilities include direct management of 7+ engineers, process and quality of service improvements, strategic planning, project management for software within the team, and management of resources across teams. Successful candidates will be strong leaders who can prioritize well, communicate clearly, and have a consistent track record of delivery. The AWS Marketplace business requires creative engineering balanced with high quality and customer focus.Professional traits that are not unique to this position, but necessary for Amazon leaders :· Exhibits excellent judgment· Hires and develops great people· Is able to dive deep and is never out of touch with the details of the business or the technology· Expects and requires innovation of her/his team· Has passion and convictions and the innate ability to inspire passion in others· Strong results orientation· Thinks bigAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation","· Bachelor’s degree in Computer Science, Computer Engineering or related technical discipline· 5+ years of relevant engineering experience· 2+ years people management experience· Experience with OOD and object oriented languages","· Deep hands-on technical expertise· Excellent verbal and written communication skills· Strong business and technical vision· Ability to handle multiple competing priorities in a fast-paced environment· A deep understanding of software development in a team, and a track record of shipping software on time· Exceptional customer relationship skills including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet aggressive timelines with optimal solutions"
"SDE, AMAZON BUSINESS","US, TX, Austin ","February  1, 2018","The Amazon Business team is seeking Software Development Engineers who want to disrupt the way businesses purchase online.Our team is focused on building solutions to enable B2B customers to research, discover and buy business, industrial and scientific products in large catalogs; across multiple devices, marketplaces and regions. Our customers include individual professionals, businesses and institutions that buy in either high frequency or in bulk quantities. Our customers have different needs than the traditional Amazon customer base.You will be part of a team that is responsible for all aspects of the customer experience - from the visual interface to the back end services. You will help redefine normal for this segment of the market. You will help translate business requirements to technical deliverables and deliver operationally stable solution that provide good customer experience.Candidates need to have strong ownership, passion to provide great customer experience and excellent troubleshooting skills. Experience with building web-based applications and/or web services-based applications is desired.","• Bachelor’s degree in Computer Science or equivalent.• 5+ years of relevant industry experience.• Hands-on development background in Java or C#/C++ on a Unix/Linux platform.• Computer Science fundamentals in object-oriented design, data structures, algorithm design, problem solving, and complexity analysis.• Excellent communication and interpersonal skills.","· Experience taking a leading role in building complex software systems that have been successfully delivered to customers· · Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations· · Experience with distributed computing and enterprise-wide systems· · Experience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, technical designs, and product strategy· · Experience mentoring junior software engineers to improve their skills, and make them more effective, product software engineers· · Experience influencing software engineers best practices within your team· · Hands-on expertise in many disparate technologies, typically ranging from front-end user interfaces through to back-end systems and all points in between· · Experience working in an Agile/Scrum environment· · You must be obsessed with addressing customer needs"
"UI Artist, AGS ","US, WA, Seattle ","February  1, 2018","Amazon is all in on games.We believe the evolution that began with arcade communities a quarter at a time, growing to the live streams and esports of today, will continue to a future where everyone is a gamer and every gamer can create, compete, collaborate and connect with others at massive scales. If you share our belief that games will produce some of the future’s most influential voices in media and art, come join us. At Amazon Game Studios, you’ll have the power of Amazon Web Services’ cloud, Twitch, Amazon Lumberyard, and our digital and physical media publishing infrastructure available as raw material to forge a future filled with amazing experiences for players, broadcasters and creators.Amazon Game Studios is looking for a talented interface artist to help us develop the look and feel of our UI.You will be responsible for:· Providing iterative mockups of a variety of game screens, including menus, social UI, and the HUD. Be prepared to explore the same layouts from multiple angles.· Helping to establish and hone the look and feel of the UI, including color schemes, buttons, iconography, and visual FX.· Creating animatics (in After Effects, Flash, or the program of your choice) showing how UI elements move, wipe, and respond to user interaction.","· 4 years of experience making art for games· Experience with current UI/UX prototyping tools such as Sketch or Adobe XD.· Proven experience in a professional game production pipeline· Proven ability to create high-poly and low-poly textures· Must have an understanding of real-time shader development· Thorough understanding of 3D art pipelines· Knowledge of 3D Max or Maya, Photoshop, Zbrush, and other 2D/3D applications· Must have the ability to take constructive criticism and maintain a professional attitude· Independently self-motivated, team player with excellent communication skills.· An online portfolio with samples of your work","· The ideal candidate will have extensive hard-surface modeling experience, with special expertise in complex curvature and mechanical assemblies.· Has shipped multiple AAA titles· Knowledge of UI and UX design for artists tool development.· Familiarity with scripting languages, such as Lua or Mel.· A passion for games and game art.Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation."
Software Development Manager,"US, WA, Seattle ","February  1, 2018","Software Development Manager - AWS IoT Device Management (Level 6)Amazon Web Services (AWS) launched highly scalable and secured Cloud IoT platform in 2015. It is now expanding its product offering in new areas to help even more customers with their large-scale deployments of IoT devices.Our mission is to keep the world of things connected and let our customers get the most out of the data of their connected devices. Were innovating on technologies to enable our customer to build complex systems in little time. Were building high performance systems and highly reliable infrastructure so that our customers can focus on their application logic to process device data and integrate workflows with other AWS services for millions of connected light bulbs, thermostats, semi-autonomous robots or jet engine telemetry - to name a few.We are looking for a Software Development Manager to be part of the AWS IoT team. This person will work closely with the leadership team both on the development side and business side to drive the next generation of critical pieces of a full IoT stack. The new service components and strong ecosystem promises to be a game changer in the connected products area.Key responsibilities· Design, build and optimize the software with a team of engineers to run a highly scalable data processing system to integrate AWS IoT with the AWS ecosystem· Ensure high reliability and robustness of your service· Drive new ideas and business growth for your team and AWS IoT· Own and continue to improve the development process with your team· Define goals and deliverables to meet dates and ship features at high quality & report on status· Recruit and hire for your team and others· Develop team members and help them grow their career",· Bachelor’s Degree in Computer Science or related technical field· 5+ years professional experience in software development management· Advanced competency in distributed systems design.· Demonstrated leadership abilities in an engineering environment in driving operational excellence and best practices and mentoring other team members.,"· Master Degree or PhD in Computer Science, Computer Engineering or related field.· 10+ years’ experience leading the definition and development of multi-tier web services· Experience leading the delivery of large-scale distributed systems.· Excellent communication, collaboration, analytical and problem-solving skills."
"Senior Software Development Engineer, EC2 Cloud Manager Team","ZA, Cape Town ","February  1, 2018","Amazon Elastic Cloud ManagerCloud (EC2) is the web service that is pioneering Cloud Computing by providing resizable Cloud Managercapacity in the Cloud. It gives any developer complete control of their computing resources and lets them run on Amazons proven computing environment. We are continuing to build the team in order to expand on our feature set and manage our rapidly increasing scale.The EC2 Cloud Manager Team in Cape Town owns the systems that are at the core of EC2. These systems are responsible for EC2 instance provisioning and managing the life cycles of instances, for example, the Run/Stop/Start/TerminateInstances APIs and a number of instance-related APIs for modifying instance attributes and describing these resources. These systems operate at a global scale and need to be highly available and responsive. This work requires innovative solutions for building complex APIs that orchestrate many dependencies synchronously and asynchronously while remaining highly available when the system is experiencing high loads. If you like challenges and solving unique problems at large scale within a distributed system environment this is the team for you.As a Senior Software Development Engineer (Sr. SDE) in the EC2 Cloud Manager Team you will contribute to a wide range of projects in a highly collaborative and fast-paced environment. The projects range from adding new features to EC2, to improving the reliability and scalability of our systems, to re-architecting/decoupling our systems so that features can be delivered more rapidly. You will become part of an industry-leading engineering team solving challenging problems at massive scale.Amazon has a fast-paced environment where we “Work Hard, Have Fun, Make History.” Youll be part of a world-class team in a fast-paced environment that has the entrepreneurial feel of a start-up. This is an opportunity to operate and engineer systems on a massive scale. Youll be surrounded by people who are incredibly smart and believe that world class service is critical to customer happiness.This is a technical leadership position. Technicians and engineers worldwide will look to you for mentorship, guidance and solutions to complex problems. Your peers will be systems and software engineers working to make the technology that supports the core EC2 services simple and efficient. In this role you will have the opportunity to design solutions to business problems that are truly unique to Amazon. We value performance, simplicity and scalability in our designs.As a Sr. Software Development Engineer you will work with a wide variety of technologies and projects that range from open source to proprietary inventions to solve for the business needs. The ability to build productive relationships with colleagues at remote sites around the world will make you successful in this role as will patience and a sense of humor. You can expect to constantly learn new things and expand your knowledge to meet varying business demands. You will occasionally travel to development centers in the US and Europe.Contact us if you would like to become part of the global cloud computing revolution. If youre not from Cape Town, we offer comprehensive relocation as a part of our package. Amazon is one of the leading international software companies, and Cape Town is one of the most beautiful cities in the world, making this an unparalleled opportunity. Amazon is an Equal Opportunity EmployerWe are busy expanding our team and have multiple positions available.ResponsibilitiesDesign, implement and deploy mission-critical systems that work at the scale of the EC2 fleetDesign, implement and deploy new features for EC2 instancesDesign, implement and deploy new solutions that enable rapid feature delivery for complex APIsImprove and optimize the reliability and performance of existing systemsEnsure the smooth and stable operation of the team’s servicesAmazon is an Equal Opportunity Employer","· Bachelor’s or honor’s degree in Computer Science, Engineering or equivalent qualification· 5+ years of industry experience in a software development environment· Excellent communication, documentation and presentation skills for technical and business audiences· Experience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, technical designs, and driving of product strategy· Experience in mentoring junior and senior software engineers to improve their skills, and make them more effective, product software engineers· Experience in influencing software engineering best practices within your team· Strong customer focus· Some experience with Ruby, Python, Java or C/C++· Some experience with Linux development",· A post-graduate qualification in Computer Science or related field· Experience in taking a leading role in building and managing complex systems that have been successfully delivered to customers· Experience with managing large volume and high throughput distributed systems in large scale distributed Linux environments· Knowledge of system performance methodologies along with hands-on empirical monitoring
"Senior Software Development Engineer, EC2 Cloud Manager Team","ZA, Cape Town ","February  1, 2018","Amazon Elastic Cloud ManagerCloud (EC2) is the web service that is pioneering Cloud Computing by providing resizable Cloud Managercapacity in the Cloud. It gives any developer complete control of their computing resources and lets them run on Amazons proven computing environment. We are continuing to build the team in order to expand on our feature set and manage our rapidly increasing scale.The EC2 Cloud Manager Team in Cape Town owns the systems that are at the core of EC2. These systems are responsible for EC2 instance provisioning and managing the life cycles of instances, for example, the Run/Stop/Start/TerminateInstances APIs and a number of instance-related APIs for modifying instance attributes and describing these resources. These systems operate at a global scale and need to be highly available and responsive. This work requires innovative solutions for building complex APIs that orchestrate many dependencies synchronously and asynchronously while remaining highly available when the system is experiencing high loads. If you like challenges and solving unique problems at large scale within a distributed system environment this is the team for you.As a Senior Software Development Engineer (Sr. SDE) in the EC2 Cloud Manager Team you will contribute to a wide range of projects in a highly collaborative and fast-paced environment. The projects range from adding new features to EC2, to improving the reliability and scalability of our systems, to re-architecting/decoupling our systems so that features can be delivered more rapidly. You will become part of an industry-leading engineering team solving challenging problems at massive scale.Amazon has a fast-paced environment where we “Work Hard, Have Fun, Make History.” Youll be part of a world-class team in a fast-paced environment that has the entrepreneurial feel of a start-up. This is an opportunity to operate and engineer systems on a massive scale. Youll be surrounded by people who are extremely smart and believe that world class service is critical to customer happiness.This is a technical leadership position. Technicians and engineers worldwide will look to you for mentorship, guidance and solutions to complex problems. Your peers will be systems and software engineers working to make the technology that supports the core EC2 services simple and efficient. In this role you will have the opportunity to design solutions to business problems that are truly unique to Amazon. We value performance, simplicity and scalability in our designs.As a Sr. Software Development Engineer you will work with a wide variety of technologies and projects that range from open source to proprietary inventions to solve for the business needs. The ability to build productive relationships with colleagues at remote sites around the world will make you successful in this role as will patience and a sense of humor. You can expect to constantly learn new things and expand your knowledge to meet varying business demands. You will occasionally travel to development centers in the US and Europe.Contact us if you would like to become part of the global cloud computing revolution. If youre not from Cape Town, we offer comprehensive relocation as a part of our package. Amazon is one of the leading international software companies, and Cape Town is one of the most beautiful cities in the world, making this an unparalleled opportunity. Amazon is an Equal Opportunity EmployerWe are busy expanding our team and have multiple positions available.ResponsibilitiesDesign, implement and deploy mission-critical systems that work at the scale of the EC2 fleetDesign, implement and deploy new features for EC2 instancesDesign, implement and deploy new solutions that enable rapid feature delivery for complex APIsImprove and optimize the reliability and performance of existing systemsEnsure the smooth and stable operation of the team’s servicesAmazon is an Equal Opportunity Employer","· Bachelor’s or honor’s degree in Computer Science, Engineering or equivalent qualification· 5+ years of industry experience in a software development environment· Excellent communication, documentation and presentation skills for technical and business audiences· Experience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, technical designs, and driving of product strategy· Experience in mentoring junior and senior software engineers to improve their skills, and make them more effective, product software engineers· Experience in influencing software engineering best practices within your team· Strong customer focus· Some experience with Ruby, Python, Java or C/C++· Some experience with Linux development",· A post-graduate qualification in Computer Science or related field· Experience in taking a leading role in building and managing complex systems that have been successfully delivered to customers· Experience with managing large volume and high throughput distributed systems in large scale distributed Linux environments· Knowledge of system performance methodologies along with hands-on empirical monitoring
Software Development Engineer – Alexa Machine Learning Platform,"US, WA, Seattle ","February  1, 2018","Interested in Machine Learning? How about Amazon Echo, Speech and Language Understanding, or Computer Vision? We’re building the machine learning platform behind Amazon Echo and other Amazon products and services. We’re working hard, having fun, making history; come join us in our world class Development Center within Kendall Square, Cambridge!As a member of the Digital Products Machine Learning Data Platform team, you will be responsible for leading the development and launch of core platform features. You will have significant influence on our overall strategy by helping define these features, drive the system architecture, and spearhead the best practices that enable a quality product.The ideal candidate is clearly passionate about new opportunities and has a demonstrable track record of success in delivering new features and products. A commitment to team work, hustle, and strong communication skills (to both business and technical partners) are absolute requirements. Creating reliable, scalable, and high performance products requires exceptional technical expertise, a sound understanding of the fundamentals of Computer Science, and practical experience building large-scale distributed systems. This person has thrived and succeeded in delivering high quality technology products/services in a hyper-growth environment where priorities shift fast.Responsibilities:· Responsible for the development and maintenance of key system features· Will work with other team members to investigate design approaches, prototype new technology and evaluate technical feasibility.· Will work in an Agile/Scrum environment to deliver high quality software against aggressive schedules.","· BS in Computer Science or equivalent.· 5+ years of industry experience.· Programming in one or more object-oriented languages like Java, Python, C#, Ruby, Objective C, or C++· Experience building scalable infrastructure software or distributed systems for commercial online services.","· MS or PhD in Computer Science· Mastery of the tools of the trade, including a variety of modern programming languages (Java, JavaScript, C, C++, Objective C, Python, Ruby,)· Experience developing cloud software services and an understanding of design for scalability, performance and reliability.· Development experience defining, developing and maintaining REST based interfaces.· Excellence in technical communication with peers and non-technical cohorts.· Strong sense of ownership, urgency, and drive.· Demonstrated leadership abilities in an engineering environment in driving operational excellence and best practices.· Demonstrated ability to achieve stretch goals in a highly innovative and fast paced environment.· Analytical abilities and proven design skills.Amazon.com, Inc. is an Equal Opportunity-Affirmative Action Employer-Minority/Female/Disability/Veteran/Gender Identity/Sexual Orientationspeech-jobs"
Software Development Engineer - Amazon Go,"US, WA, Seattle ","February  1, 2018","The Team: Amazon Go is a new kind of store with no lines and no checkout. You simply use the Amazon Go app to enter the store, take what you want from our selection of fresh, delicious meals and grocery essentials, and go.Our checkout-free shopping experience is made possible by our Just Walk Out Technology. It automatically detects when products are taken from or returned to the shelves and keeps track of them in a virtual cart. When you’re done shopping, you just leave the store. Shortly after, we’ll charge your Amazon account and send you a receipt. Check it out at amazon.com/go. Designed and custom-built by Amazonians, our technology uses computer vision, sensor fusion, and advanced machine learning. Innovation is part of our DNA. We need people who want to join a high-reaching program that continues to push the state of the art in computer vision, machine learning, distributed systems and hardware design.In this role you will have responsibility for:· Translating functional and technical requirements into detailed architecture and design· Coding and testing complex system components· Participating in code and design reviews to maintain our high development standards· Working with other teams to deliver and operate large scale, distributed services in the cloud· Overall system architecture, scalability, reliability and performance· Mentoring other engineers, defining our challenging technical culture and helping to build a fast-growing team","· BS in Computer Science or related technical field (In lieu of degree, 4 years of relevant work experience).· 5+ years of software development experience· Proficient in at least of of: Java, C++, C# or other statically compiled language· Experience with one or more scripting languages: Ruby, Python, etc.· Experience working on cloud computing, large-scale and high-availability distributed architectures","· Experience with AWS cloud services (DynamoDB, S3, SQS, SNS, etc.)· Evidence of working with existing systems; curious and able to learn new codebases· Able to deliver results in a cross-functional team, making high-quality contributions to other systems and libraries· Experience creating extensible, well abstracted designs and driving consensus with other engineers· Ability to drive tasks to completion and take ownership of projects"
Software Development Engineer - Amazon Go,"US, WA, Seattle ","February  1, 2018","The Team: Amazon Go is a new kind of store with no lines and no checkout. You simply use the Amazon Go app to enter the store, take what you want from our selection of fresh, delicious meals and grocery essentials, and go.Our checkout-free shopping experience is made possible by our Just Walk Out Technology. It automatically detects when products are taken from or returned to the shelves and keeps track of them in a virtual cart. When you’re done shopping, you just leave the store. Shortly after, we’ll charge your Amazon account and send you a receipt. Check it out at amazon.com/go. Designed and custom-built by Amazonians, our technology uses computer vision, sensor fusion, and advanced machine learning. Innovation is part of our DNA. We need people who want to join a high-reaching program that continues to push the state of the art in computer vision, machine learning, distributed systems and hardware design.In this role you will have responsibility for:· Translating functional and technical requirements into detailed architecture and design· · Coding and testing complex system components· · Participating in code and design reviews to maintain our high development standards· · Working with other teams to deliver and operate large scale, distributed services in the cloud· · Overall system architecture, scalability, reliability and performance· · Mentoring other engineers, defining our challenging technical culture and helping to build a fast-growing team","· BS in Computer Science or related technical field (In lieu of degree, 4 years of relevant work experience).· · 5+ years of software development experience· · Proficient in at least of of: Java, C++, C# or other statically compiled language· · Experience with one or more scripting languages: Ruby, Python, etc.· · Experience working on cloud computing, large-scale and high-availability distributed architectures","· Experience with AWS cloud services (DynamoDB, S3, SQS, SNS, etc.)· · Evidence of working with existing systems; curious and able to learn new codebases· · Able to deliver results in a cross-functional team, making high-quality contributions to other systems and libraries· · Experience creating extensible, well abstracted designs and driving consensus with other engineers· · Ability to drive tasks to completion and take ownership of projects"
Linux Platform Software Engineer,"US, CA, Cupertino ","February  1, 2018","Amazon Web Services is looking for Software Development Engineers to develop new platforms for AWS Networking. You will join a team of engineers developing embedded routing platforms that enable one of the worlds largest and complex networks. With Amazon Web Services (http://aws.amazon.com), our goal is to become The Infrastructure Platform to the world. Our customers demand the highest quality and reliability for their services. As we expand at a tremendous rate, we look for innovative ways to build, automate and scale our network, and are responsible for providing significantly improved performance, reliability, control, and visibility for Amazons global network.We are seeking engineers with a demonstrated track record of designing and implementing Linux-based solutions on embedded devices, ideally for networking products. The platform OS team is focused on delivering Linux based Networking OS which are foundation for devices that are the at the core of the Amazon network. We are seeking a passionate Linux Software Engineer to join our Networking Platform OS team, with a primary focus on the Linux bring up in new platforms and handling the Linux networking sub-systems, image management etc. As a member of that team, you will play an integral role in Platform bringup, OS stability, performance, OS Upgrade / Manageability, Security, Linux Networking. Additionally, you will work with the wider Linux community including upstream developers, vendors, and cross functional teams. You will be advocate for best practices with other engineers when it comes to kernel usage, Linux networking, packaging/security, deployment, tuning parameters, etc.Why would you want to work on network devices for Amazon?- We have some of the largest data center networks in the world and we dont stop growing.- Because we own both the network and the devices, we can innovate in a way that others cannot.- Very large impact: everything AWS does is built on networks using these devices.- You like to get stuff done: we have a lot to do, with many opportunities to deliver.","· BS in Electrical Engineering, Computer Science or related field· 5+ years experience with driver and Linux platform bring up and maintenance· 100% hands-on development engineer· Triage, investigate, and resolve primarily Linux bringup and networking performance, Security, kernel, packaging, bootloader, image management related issues· Proven ability of new platform bringup effort· Solid C/C++ expertise· Expertise in solving non-trivial troubleshooting and debugging skills under time pressure· Ability to drive progress in the absence of top level requirements· Good understanding of the Linux kernel network sub-system· Deep understanding of Linux variations, upstreams, packaging and tool-chain, kernel sub-systems, security issues","· Experience in BSP· New platform and SDK integration· Hands on expertise with ARM, Intel, PPC family processor· Networking platform S/W development· Great written/verbal communication skills and teamwork.MS/PhD in CS/EE or equivalentAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.*LI-TM1*aws-sdesdm-na"
Sr. Robotics Software Engineer,"US, WA, Seattle ","February  1, 2018","Are you an experienced software engineer capable of building new technology at the intersection of software, systems, sensing, machine learning and physical deployment at scale?Were looking for an experienced engineer capable of building and delivering functioning robotics systems and software that will be deployed at a global scale. The ideal candidate will have experience with practical implementations of robotic techniques for task automation.Work includes:· Participate in all phases of new development including concept, design, prototyping, and production· Influence the full-stack architectural roadmap· Collaborate with software, hardware, and operations customers· Performance tuning and maintenance of on-device software· Contribute to software design reviews, architecture reviews, and team best practices· Mentor junior engineers","· BS in Computer Science, Computer Engineering or related fields· 7+ years’ experience as a software engineer· Experience working in C, C++, or other Object Oriented languages on a Linux platform· Maintaining high level of communications with cross-functional team, and partners· Experience working in development team(s) that have delivered commercial software or software-based services· Understanding of network protocols from data link through application layer.· Experience with existing middleware layers such as DDS, 0MQ, MQTT.· Has experience with real-time communication links and tradeoffs with bandwidth, latency, and reliability.· Experience with multithreading and concurrency· Proficiency in at least one scripting language: Python, Perl, etc· Debugging/trouble-shooting skills of embedded processes and systems· Knowledge of computer architecture and OS fundamentals· Experience with designing, building and deploying scalable and highly available systems","· Master’s/PhD in Computer Science, Electrical Engineering or related field· Experiences of using AWS services, Relational Databases, SQL· Experience and knowledge in controlling and integrating robotics· Experience with ROS or equivalent toolkit· Hands-on expertise in many disparate technologies, typically ranging from front-end user interfaces through to back-end systems and all points in between· Experience with a Linux development environment (e.g. Makefiles, GDB, Git, Ubuntu)· Experience with real-time systems, interrupts, and schedulers· Experience and knowledge in building software for large scale industrial systems· Knowledge of professional software engineering practices for full software development life cycle, including coding standards, code reviews, source control management, agile development, build processes, and testing· Experience with formal Integration, Validation and Verification (IV&V) techniques"
DFT Design Engineer ,"US, TX, Austin ","February  1, 2018","Amazon Web Services provides a highly reliable, scalable, low-cost infrastructure platform in the cloud that powers hundreds of thousands of businesses in 190 countries around the world. We have data center locations in the U.S., Europe, Singapore, and Japan, and customers across all industries. We are seeking experienced Hardware Design Engineers to work with partners and vendor and build the next generation of our cloud server infrastructure. Our success depends on our world-class server infrastructure; we’re handling massive scale and rapid integration of emergent technologies.As a member of the Silicon Optimization Engineering Team you’ll be responsible for the design and optimization of hardware in our data centers. You’ll provide leadership in the application of new technologies to large scale server deployments in a continuous effort to deliver a world-class customer experience. This is a fast-paced, intellectually challenging position, and you’ll work with thought leaders in multiple technology areas. You’ll have relentlessly high standards for yourself and everyone you work with, and you’ll be constantly looking for ways to improve your products performance, quality and cost. We’re changing an industry, and we want individuals who are ready for this challenge and want to reach beyond what is possible today.Responsibilities:• Develop, implement and verify state-of-the-art Design for Test (DFT) architectures• Work with block designers to integrate DFT implementations• Work with physical design team to setup and implement DFT insertion flow• Perform RTL coding and Verification• Perform ATPG analysis and pattern generation• Participate in test plan and coverage reviews• Participate in Silicon debug and write scripts to effectively handle ATE related data• Communicate and work with team members across multiple disciplines","• BS degree or higher in EE, CE, or CS• 3+ years of practical experience with SoC design using Verilog• Good knowledge of state-of-the-art DFT methodologies• Experience in JTAG, MBIST• Experience with design verification and Testbench development• Experience with automation script development• Excellent verbal and written communication skills","• MS degree in EE, CE or CS• Good breadth of knowledge from architecture through physical design• Knowledge of design verification using System Verilog/UVM• Experience with large gate-level simulation setup and debug• Strong programming and scripting skills in Perl, Python or Tcl• Practical experience with silicon debug• Experience with industry standard DFT/ATPG tools"
Software Quality Assurance Technician,"US, CA, East Palo Alto ","February  1, 2018","Amazon Lab126 is an inventive research and development company that designs and engineers high-profile consumer electronics. Lab126 began in 2004 as a subsidiary of Amazon.com, Inc., originally creating the best-selling Kindle family of products. Since then, we have produced groundbreaking devices like Fire tablets, Fire TV and Amazon Echo. What will you help us create?Work hard. Have fun. Make history.The Role:As a Software Quality Assurance Technician, you will join the team of hands-on, passionate and seasoned SQA professionals developing innovative consumer-centric product solutions. In this role, you will:· Be responsible for maintaining the Automation Labs.· Execute automated tests.· Maintain the lab inventory.· Bring up automation test beds supporting the automation framework.· Review user interfaces for conformity and functionality.· Review product user interface for conformity to isolate infrastructure dependenicies.· Find, isolate, document, regress, and track bugs through resolution· Interpret and report testing results, and be a vocal proponent for quality· Work with Quality Assurance Engineers to understand the overall technical architecture and how each automation feature is implemented","• 2 year technical degree (preferably Engineering or Telecommunications)• 2+ years of experience in a Consumer Electronics lab environment• 2+ years of experience planning and maintaining lab facilities for optimal efficiency and creating new processes when necessary• 2+ years of excellent and proven Troubleshooting skills – specifically in the following areas: Wi-Fi, Switch, Router.• 2+ years of experience in Linux environment.","· Scripting experience using Python, shell script.· Familiar with Jenkins build Automation Environment· Understanding of networking.· Previous roles in QA or QA Automation a plus· Certifications: Network+ or equivalent experience.· Excellent communication and writing skills.Lab126 is part of the Amazon.com, Inc. group of companies and is an Equal Opportunity-Affirmative Action Employer-Minority/Female/Disability/Veteran/Gender Identity/Sexual Orientation"
