credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,purpose
1,0,157,12,2,742,3149,9698,19,0,0,0,0,debt_consolidation
1,0,275,10,6,692,7470,8847,27,1,1,0,0,credit_card
1,0,155,12,0,777,7129,6053,20,0,0,0,0,home_improvement
1,0,78,12,11,762,6060,7274,13,0,0,0,0,home_improvement
1,0,158,11,16,757,4770,66033,23,0,0,0,0,credit_card
1,0,155,11,4,772,2535,3660,7,0,0,0,0,all_other
1,0,155,11,0,787,3540,216,1,0,0,0,0,credit_card
1,0,164,11,1,672,3990,27185,16,3,0,1,0,credit_card
1,0,161,11,8,707,4320,28329,49,1,0,0,0,debt_consolidation
1,0,160,12,12,717,4499,60568,39,1,0,0,0,home_improvement
1,0,157,12,6,742,4019,40934,26,0,0,0,0,home_improvement
1,0,155,12,2,777,3540,8379,17,0,0,0,0,debt_consolidation
1,0,95,10,15,752,2460,3660,8,1,0,0,0,small_business
1,0,97,12,0,677,3780,0,0,0,1,0,0,home_improvement
1,0,164,10,19,702,5190,15840,47,0,0,0,0,credit_card
1,0,167,11,14,797,5611,6844,14,0,0,0,0,credit_card
1,0,169,9,3,762,6660,1321,16,0,0,0,0,educational
1,0,161,10,15,772,4379,4737,24,0,0,0,0,all_other
1,0,159,11,10,722,3090,23489,38,0,0,0,0,credit_card
1,0,179,12,0,792,7489,2817,10,0,0,0,0,debt_consolidation
1,0,155,11,1,782,5807,1783,0,1,0,0,0,credit_card
1,0,324,10,11,712,1379,3534,54,0,0,0,0,small_business
1,0,814,11,4,762,2730,2422,23,0,0,0,0,small_business
1,0,113,10,16,712,1650,2864,41,1,0,0,0,educational
1,0,95,11,13,627,1409,3075,92,1,0,0,0,debt_consolidation
1,0,399,11,17,747,14009,17214,8,2,1,0,0,small_business
1,0,40,10,2,662,1139,1153,76,2,0,0,0,credit_card
1,0,678,12,10,682,4210,41674,74,0,0,0,1,credit_card
1,0,401,11,15,682,4479,43039,93,3,0,0,0,credit_card
1,0,205,11,8,712,2294,3362,69,0,0,0,0,all_other
1,0,398,11,7,682,8730,11868,72,0,2,0,0,debt_consolidation
1,0,155,11,3,772,8190,2562,14,2,0,0,0,all_other
1,0,113,10,2,682,1410,1882,32,0,0,0,0,all_other
1,0,99,10,7,667,2550,1064,71,2,0,1,0,debt_consolidation
1,0,110,11,9,752,4980,6432,6,0,1,0,0,credit_card
1,0,33,10,14,687,1110,4485,37,1,0,0,1,all_other
1,0,113,11,11,702,4980,16310,20,0,1,0,0,all_other
1,0,161,12,9,712,5940,20969,40,0,0,0,0,debt_consolidation
1,0,341,10,17,707,2700,22213,66,0,0,0,0,debt_consolidation
1,0,156,12,6,752,5340,2160,2,1,0,0,0,home_improvement
1,0,155,11,5,812,9809,813,1,0,0,0,0,credit_card
1,0,235,12,3,757,5202,23678,24,4,0,0,0,home_improvement
1,0,258,11,15,722,2640,11289,48,3,0,0,0,debt_consolidation
1,0,225,12,6,677,6240,56411,75,0,0,0,1,small_business
1,0,80,11,20,772,4921,269,4,3,0,0,1,home_improvement
1,0,84,10,20,682,5492,3408,35,1,0,0,1,home_improvement
1,0,507,11,14,712,5369,6513,34,3,0,1,1,debt_consolidation
1,0,124,11,3,772,1740,330,11,0,0,0,0,educational
1,0,63,11,6,712,2550,5967,20,1,0,0,0,credit_card
1,0,131,10,18,707,2192,5533,80,1,0,0,0,all_other
1,0,94,12,2,762,8370,21050,1,0,0,0,0,home_improvement
1,0,94,11,5,762,8370,21050,1,0,0,0,0,all_other
1,0,89,12,15,742,3026,8155,15,1,0,0,0,all_other
1,0,128,12,15,722,3026,8155,15,1,0,0,0,all_other
1,0,95,11,12,737,2730,3678,31,0,0,0,0,home_improvement
1,0,180,10,7,662,2944,2040,36,2,0,0,0,debt_consolidation
1,0,444,11,20,667,2701,33074,69,2,0,0,0,credit_card
1,0,125,11,3,747,2519,1918,17,0,0,0,0,all_other
1,0,644,11,5,662,1770,22379,62,0,0,0,0,credit_card
1,0,642,11,3,737,2190,10296,42,0,0,0,1,small_business
1,0,105,10,12,672,1290,2867,55,3,0,0,1,small_business
1,0,158,10,12,682,1770,12310,86,0,0,0,0,debt_consolidation
1,0,384,12,5,767,13350,61921,39,0,0,0,0,debt_consolidation
1,0,218,11,18,702,3725,16738,26,2,0,0,0,credit_card
1,0,298,11,3,792,5939,40384,9,1,0,0,0,all_other
1,0,156,11,5,762,2131,1359,6,2,0,0,0,debt_consolidation
1,0,330,12,20,727,10292,107501,45,2,0,0,0,debt_consolidation
1,0,314,12,1,787,8010,3054,6,3,0,0,0,all_other
1,0,298,11,2,792,8718,40384,10,0,0,0,0,all_other
1,0,240,11,10,792,4529,128000,0,3,0,0,0,home_improvement
1,0,62,12,0,772,5936,4709,18,0,0,0,0,debt_consolidation
1,0,94,11,3,667,5460,2850,75,0,1,0,0,all_other
1,0,74,11,17,702,4080,51,0,0,0,0,1,small_business
1,0,314,12,6,792,5365,37152,4,0,0,0,0,home_improvement
1,0,543,11,10,762,5700,3839,17,1,0,0,0,debt_consolidation
1,0,314,11,3,797,5364,37152,4,0,0,0,0,home_improvement
1,0,266,11,10,672,3599,26283,40,0,1,0,1,credit_card
1,0,211,11,6,692,1742,5607,42,0,0,0,0,debt_consolidation
1,0,234,10,5,662,1110,1061,82,3,0,0,0,all_other
1,0,324,12,14,722,4680,56740,78,1,0,0,0,debt_consolidation
1,0,236,11,7,712,5519,40598,77,1,0,0,0,credit_card
1,0,352,11,18,687,1290,3815,6,1,0,0,0,debt_consolidation
1,0,117,12,0,772,3930,0,0,1,0,0,0,all_other
1,0,65,12,0,812,16213,50,0,0,0,0,0,debt_consolidation
1,0,700,11,2,667,3604,4569,56,1,0,0,0,small_business
1,0,195,10,8,692,3090,8528,86,0,0,0,0,educational
1,0,296,10,22,747,2789,14345,46,0,0,0,0,credit_card
1,0,218,11,18,707,3359,113,2,1,0,0,0,small_business
1,0,263,11,10,677,3090,12231,81,3,0,0,1,debt_consolidation
1,0,248,11,21,667,3750,13552,69,0,1,0,0,debt_consolidation
1,0,194,11,11,692,2490,16813,64,0,0,0,0,credit_card
1,0,301,11,5,667,3690,26233,63,3,0,1,1,debt_consolidation
1,0,164,11,3,782,9210,5760,16,0,0,0,0,all_other
1,0,151,11,3,687,6510,105,35,1,1,0,1,all_other
1,0,218,11,14,682,2160,11490,96,0,0,0,0,debt_consolidation
1,0,85,11,21,692,5250,17641,30,3,1,0,0,home_improvement
1,0,328,10,20,742,3270,0,0,3,0,0,0,all_other
1,0,165,11,12,797,8790,12430,19,1,0,0,0,all_other
1,0,141,10,10,707,1560,12323,44,0,0,0,0,debt_consolidation
1,0,98,11,9,697,3300,38624,98,0,0,0,0,all_other
1,0,166,9,0,662,2250,875,55,2,1,0,1,small_business
1,0,284,11,6,667,7230,1196,12,3,4,0,0,small_business
1,0,194,13,2,697,2760,26628,60,3,1,0,0,small_business
1,0,139,10,25,767,5790,6752,25,2,0,0,0,all_other
1,0,70,9,14,662,1469,458,92,1,0,0,1,debt_consolidation
1,0,252,12,10,752,3509,16786,45,0,0,0,0,credit_card
1,0,263,12,12,742,9720,7336,30,0,0,0,0,all_other
1,0,105,11,4,702,3690,7089,42,1,0,0,0,all_other
1,0,173,11,6,742,5100,18388,69,0,0,0,0,debt_consolidation
1,0,39,10,1,677,1920,613,77,2,0,0,0,credit_card
1,0,100,10,13,662,1110,566,52,3,1,0,1,educational
1,0,336,11,19,682,2219,9166,50,1,0,0,0,debt_consolidation
1,0,163,11,12,707,4889,5406,33,0,0,1,1,all_other
1,0,32,10,6,687,2159,1188,3,2,0,0,1,all_other
1,0,97,10,15,707,11249,12003,40,1,0,0,0,educational
1,0,72,11,8,707,4800,20511,62,1,0,0,1,all_other
1,0,91,11,18,732,3691,55720,10,2,0,0,0,small_business
1,0,260,11,10,772,9870,7744,17,0,0,0,0,all_other
1,0,169,11,18,737,5430,51761,38,1,0,0,0,all_other
1,0,205,11,18,717,1500,579,23,0,0,0,0,credit_card
1,0,162,11,17,707,9060,34776,54,0,0,0,1,debt_consolidation
1,0,227,11,10,692,1890,8047,34,0,0,0,0,debt_consolidation
1,0,163,10,24,737,3210,0,0,3,0,0,0,all_other
1,0,158,10,18,672,2586,409,82,0,1,0,0,debt_consolidation
1,0,795,11,9,822,9697,185,0,0,0,0,0,small_business
1,0,159,11,5,727,6330,48251,50,2,0,0,0,debt_consolidation
1,0,97,11,20,687,2580,772,96,0,0,0,0,all_other
1,0,264,11,8,672,3089,1019,4,1,1,0,0,debt_consolidation
1,0,405,11,16,692,5640,8332,40,2,0,0,0,small_business
1,0,308,11,9,797,6090,1790,4,1,0,0,0,all_other
1,0,840,11,25,722,6330,62739,75,3,0,0,1,debt_consolidation
1,0,269,12,24,767,4666,29901,71,2,0,0,1,all_other
1,0,265,11,11,667,1560,5867,74,1,0,0,0,debt_consolidation
1,0,802,11,1,732,2130,10605,22,1,0,0,0,home_improvement
1,0,505,12,17,697,9659,57196,44,3,0,0,1,debt_consolidation
1,0,318,13,3,712,4919,481,80,2,0,0,1,home_improvement
1,0,315,10,4,737,1560,2282,19,1,0,0,0,educational
1,0,131,10,9,672,1140,3614,61,1,0,0,0,all_other
1,0,228,11,8,682,6840,14930,79,1,0,1,0,debt_consolidation
1,0,643,12,13,727,10530,33989,83,0,0,0,0,credit_card
1,0,52,10,4,632,1530,1238,62,1,1,0,0,all_other
1,0,572,11,15,747,7500,4746,18,2,0,0,0,educational
1,0,150,10,6,752,3029,3470,26,0,0,0,0,all_other
1,0,97,11,12,682,1799,12640,83,0,0,0,0,all_other
1,0,93,11,0,812,8250,368,1,0,0,0,0,home_improvement
1,0,192,11,20,677,4290,30597,90,1,1,0,0,credit_card
1,0,594,10,11,682,5050,8537,76,0,0,0,0,all_other
1,0,392,10,16,692,1500,15649,54,2,0,0,0,debt_consolidation
1,0,156,11,10,767,12960,4067,7,0,0,0,0,educational
1,0,156,10,8,687,2795,5836,69,0,0,1,0,debt_consolidation
1,0,486,11,12,702,5070,24615,95,0,0,0,0,credit_card
1,0,117,10,8,687,5130,7600,72,0,0,1,0,all_other
1,0,223,11,19,682,1889,9495,88,2,0,0,1,debt_consolidation
1,0,150,10,10,757,6330,4921,30,0,0,0,0,credit_card
1,0,211,11,2,667,3421,11200,23,1,0,0,0,educational
1,0,186,11,6,777,7440,2444,6,3,0,0,0,debt_consolidation
1,0,791,11,1,767,2100,916,7,0,0,0,0,debt_consolidation
1,0,795,13,4,782,3660,148829,7,5,0,0,1,small_business
1,0,127,11,19,747,3630,3209,13,0,0,0,0,credit_card
1,0,294,11,17,677,3840,7570,82,0,0,0,0,credit_card
1,0,405,11,9,687,2519,13126,96,0,0,1,0,debt_consolidation
1,0,398,12,20,687,4452,66654,52,1,0,0,0,debt_consolidation
1,0,179,11,1,812,16259,50,0,0,0,0,0,debt_consolidation
1,0,29,9,17,687,2069,3084,66,3,0,0,1,educational
1,0,418,11,6,712,5610,2598,24,1,0,0,0,small_business
1,0,130,11,18,682,6330,18168,68,2,0,0,0,credit_card
1,0,99,10,23,682,9389,24218,85,2,0,0,0,all_other
1,0,16,10,4,722,1470,0,0,0,0,0,0,all_other
1,0,523,12,11,697,7320,72303,74,1,0,0,0,credit_card
1,0,557,12,0,757,1128,1032,5,0,0,0,0,all_other
1,0,315,11,15,677,3630,133,4,1,0,0,0,all_other
1,0,528,11,12,682,2130,34023,58,1,2,0,1,debt_consolidation
1,0,93,11,11,757,4500,12430,30,5,0,0,0,major_purchase
1,0,203,11,14,787,10260,10742,9,3,0,0,0,debt_consolidation
1,0,166,11,7,667,2789,2197,76,0,2,0,1,debt_consolidation
1,0,159,11,15,692,4410,88,24,1,3,0,1,all_other
1,0,486,11,12,702,7020,13867,34,0,0,0,0,debt_consolidation
1,0,322,11,10,702,4920,3943,99,3,0,0,1,all_other
1,0,190,10,19,757,3870,5405,40,2,0,0,0,debt_consolidation
1,0,376,10,24,712,3030,12102,49,1,0,0,0,debt_consolidation
1,0,599,12,18,682,4379,18076,81,1,0,0,0,debt_consolidation
1,0,132,10,23,702,5279,4504,39,1,0,0,1,debt_consolidation
1,0,829,11,10,712,4859,25852,60,0,0,0,0,small_business
1,0,605,11,18,707,8061,32438,43,0,1,0,0,credit_card
1,0,538,11,12,747,6240,20380,48,2,0,0,0,debt_consolidation
1,0,173,11,16,707,2220,38054,61,0,0,0,0,credit_card
1,0,605,10,5,697,1410,25,0,2,0,0,0,small_business
1,0,290,11,3,697,1782,3305,55,2,0,0,0,all_other
1,0,530,11,15,682,3900,348,5,0,0,0,1,major_purchase
1,0,158,10,6,722,1350,3015,25,0,0,0,0,all_other
1,0,391,10,20,702,2042,7336,72,1,0,0,0,debt_consolidation
1,0,301,11,5,662,6630,8644,73,1,0,0,0,credit_card
1,0,660,11,18,707,3629,93,0,2,0,0,1,small_business
1,0,218,11,2,777,2879,2698,10,0,0,0,0,small_business
1,0,389,11,6,697,4800,19009,30,0,0,0,0,home_improvement
1,0,158,11,0,717,12930,498,7,2,1,0,0,major_purchase
1,0,320,11,19,672,4740,10358,92,2,0,1,1,debt_consolidation
1,0,104,11,10,682,12780,2105,45,0,3,0,0,credit_card
1,0,154,11,13,697,2969,2822,10,3,0,0,0,home_improvement
1,0,651,12,12,707,5070,21004,98,0,0,0,0,debt_consolidation
1,0,82,11,24,667,2820,11675,76,1,0,0,0,all_other
1,0,239,10,10,712,1230,3933,44,0,0,0,0,all_other
1,0,336,11,8,662,4109,7251,81,3,0,2,0,debt_consolidation
1,0,93,11,19,692,4440,88,44,1,3,0,1,all_other
1,0,96,11,3,697,4680,1492,33,2,0,0,0,all_other
1,0,96,10,14,692,1918,7121,34,0,0,0,0,debt_consolidation
1,0,554,11,19,677,3060,17641,70,2,0,0,0,debt_consolidation
1,0,859,11,21,682,3059,30946,62,3,0,0,1,small_business
1,0,473,11,8,772,5909,0,0,0,0,0,0,major_purchase
1,0,587,11,10,697,2669,23391,91,1,0,0,0,credit_card
1,0,225,10,21,772,5881,16324,48,0,0,0,0,major_purchase
1,0,484,10,8,662,2670,7104,94,2,0,0,1,debt_consolidation
1,0,400,10,14,672,1950,9273,44,0,0,0,0,debt_consolidation
1,0,232,11,17,672,4380,6718,95,3,0,0,0,debt_consolidation
1,0,802,11,17,767,5691,12017,12,4,0,0,1,small_business
1,0,305,11,19,692,5430,5749,43,1,1,0,0,debt_consolidation
1,0,836,11,8,692,4739,6530,22,0,1,0,0,small_business
1,0,125,10,6,752,2729,2666,12,0,0,0,0,all_other
1,0,113,11,18,687,2070,3761,55,2,0,0,0,all_other
1,0,842,12,13,677,5340,33698,91,0,0,0,0,credit_card
1,0,817,11,22,737,9900,3472,4,1,0,0,1,debt_consolidation
1,0,422,10,21,667,6750,14534,49,3,1,0,0,debt_consolidation
1,0,575,11,10,732,2732,6703,48,1,0,0,0,educational
1,0,405,12,18,667,4358,5861,54,2,0,0,0,all_other
1,0,168,10,19,662,1380,5061,72,0,1,0,0,debt_consolidation
1,0,677,11,4,722,6149,16888,40,0,0,0,0,debt_consolidation
1,0,132,11,9,667,3990,463,93,0,0,0,0,all_other
1,0,281,10,0,712,3360,0,0,0,1,0,0,debt_consolidation
1,0,802,11,10,742,2550,8283,13,4,0,0,0,debt_consolidation
1,0,505,12,11,687,3420,46525,94,0,0,0,0,credit_card
1,0,180,11,2,772,2610,2650,7,0,0,0,0,home_improvement
1,0,799,12,2,762,6359,17,0,5,0,0,1,small_business
1,0,320,11,19,727,4470,827,7,2,0,0,1,all_other
1,0,32,9,18,702,1200,961,26,2,0,0,0,debt_consolidation
1,0,193,10,3,697,1199,1554,29,1,0,0,0,debt_consolidation
1,0,765,12,4,672,5790,10753,52,2,3,0,1,home_improvement
1,0,31,12,1,792,3810,2227,4,1,0,0,0,all_other
1,0,382,12,7,722,10290,7606,19,0,0,1,0,credit_card
1,0,301,11,5,662,2222,8355,34,0,2,0,1,debt_consolidation
1,0,687,11,16,667,2190,27293,87,0,0,0,0,credit_card
1,0,321,11,4,712,2850,10157,26,0,1,0,0,debt_consolidation
1,0,863,11,6,677,4739,4209,75,2,0,0,1,small_business
1,0,251,11,10,767,3449,0,0,1,0,0,0,credit_card
1,0,87,10,4,767,3930,1773,5,1,0,0,0,all_other
1,0,62,10,2,742,2290,949,56,1,0,0,1,all_other
1,0,851,11,20,687,2399,12308,44,2,0,0,1,home_improvement
1,0,244,11,12,687,4019,7914,31,3,2,0,0,credit_card
1,0,687,11,16,672,3690,9150,96,0,0,0,0,debt_consolidation
1,0,657,11,14,702,1800,21777,54,3,0,0,0,debt_consolidation
1,0,538,11,12,667,2580,4281,63,3,0,0,0,all_other
1,0,321,10,8,712,3300,4475,63,0,0,0,0,debt_consolidation
1,0,387,12,8,707,3839,25413,45,2,0,0,0,debt_consolidation
1,0,315,12,2,742,4740,15043,65,2,0,0,0,small_business
1,0,293,10,6,682,1350,6353,40,2,0,0,0,major_purchase
1,0,125,10,10,742,1920,3737,56,1,0,0,0,debt_consolidation
1,0,383,11,7,717,5580,11370,42,0,2,0,0,debt_consolidation
1,0,524,10,17,667,10380,18403,73,0,1,0,0,debt_consolidation
1,0,200,12,7,662,2041,19504,77,0,0,0,0,all_other
1,0,575,12,17,747,3630,10463,8,2,0,0,0,debt_consolidation
1,0,95,9,7,707,3329,2808,51,3,1,0,0,debt_consolidation
1,0,477,11,7,742,4589,6297,14,0,0,0,0,debt_consolidation
1,0,345,11,14,792,7867,33060,22,0,0,0,0,all_other
1,0,155,10,23,717,2580,4500,13,0,0,0,1,all_other
1,0,645,11,13,732,1770,2344,10,1,0,0,0,home_improvement
1,0,93,11,1,797,6270,2907,4,0,0,0,0,all_other
1,0,306,11,22,727,4593,26218,29,2,0,0,0,debt_consolidation
1,0,144,10,25,707,1291,5967,26,0,0,0,0,debt_consolidation
1,0,289,12,10,702,6119,27786,86,2,0,1,1,credit_card
1,0,88,12,13,702,6120,27786,86,2,0,1,1,all_other
1,0,382,12,4,722,4080,7335,46,1,1,0,0,all_other
1,0,197,11,0,672,2519,0,0,1,1,0,0,debt_consolidation
1,0,84,11,17,737,6988,19210,48,0,0,0,0,credit_card
1,0,481,11,4,717,2759,11601,86,3,0,0,0,small_business
1,0,253,10,6,697,2040,991,34,1,0,0,0,debt_consolidation
1,0,78,13,2,762,6240,141287,9,5,1,0,0,all_other
1,0,97,12,9,687,2311,199,1,1,1,0,0,all_other
1,0,260,12,11,692,5018,63580,81,1,0,0,1,all_other
1,0,124,11,6,772,5430,773,5,0,0,0,0,home_improvement
1,0,68,10,22,662,1470,1042,37,3,1,0,0,debt_consolidation
1,0,406,10,7,662,1530,137,3,1,1,0,1,debt_consolidation
1,0,241,11,3,712,4709,1944,47,0,0,1,0,credit_card
1,0,171,11,21,662,7109,16613,18,1,1,0,1,small_business
1,0,294,9,0,737,1139,0,0,1,0,0,0,educational
1,0,318,11,17,662,6179,5181,98,3,0,1,0,credit_card
1,0,64,10,19,727,3455,597,14,2,1,0,0,major_purchase
1,0,218,11,2,807,7230,3202,1,1,0,0,0,all_other
1,0,668,12,13,687,3420,46086,93,0,0,0,0,credit_card
1,0,134,11,9,662,6839,9380,44,1,0,1,1,debt_consolidation
1,0,421,11,17,752,4349,35944,56,2,0,0,0,debt_consolidation
1,0,340,11,1,672,2519,0,0,0,1,0,0,all_other
1,0,366,11,14,702,6780,7973,90,0,0,0,0,debt_consolidation
1,0,314,10,10,752,5167,8522,22,1,0,0,0,debt_consolidation
1,0,877,12,18,677,3330,62976,86,2,2,0,0,credit_card
1,0,317,10,22,667,1601,7429,82,0,0,0,0,debt_consolidation
1,0,701,11,1,682,2579,639,14,1,0,0,1,small_business
1,0,485,11,14,732,5489,14903,35,0,0,0,0,debt_consolidation
1,0,134,11,9,662,4080,2923,28,3,0,0,0,debt_consolidation
1,0,362,12,8,757,5790,18314,51,1,0,0,0,credit_card
1,0,108,10,0,777,3034,150,8,1,0,0,0,all_other
1,0,240,10,5,662,3840,0,0,2,0,0,0,all_other
1,0,62,11,10,767,8190,2475,5,1,1,0,0,all_other
1,0,66,10,2,722,5790,1489,62,1,0,0,0,all_other
1,0,328,11,19,702,2849,15368,87,0,0,0,0,debt_consolidation
1,0,69,12,8,762,6007,21521,30,1,0,0,1,all_other
1,0,313,11,14,702,5700,4781,16,2,0,0,1,home_improvement
1,0,329,11,14,692,4470,8473,28,3,1,1,0,debt_consolidation
1,0,293,11,16,677,1848,8494,44,1,0,0,0,all_other
1,0,315,11,14,762,5519,11333,46,5,0,0,0,all_other
1,0,226,11,17,762,5340,9366,41,4,0,0,1,debt_consolidation
1,0,63,10,19,742,2190,4922,31,0,0,0,0,major_purchase
1,0,537,11,10,677,5280,23129,80,0,1,0,1,debt_consolidation
1,0,126,11,12,667,3300,29736,80,3,0,0,0,small_business
1,0,192,12,17,722,8519,67232,41,1,0,0,0,credit_card
1,0,97,11,0,692,5160,0,0,0,0,0,0,all_other
1,0,319,11,6,727,4800,11496,27,0,0,0,0,debt_consolidation
1,0,228,11,8,687,2010,6999,66,0,0,0,0,credit_card
1,0,73,11,17,667,1410,4863,70,0,1,0,0,all_other
1,0,16,10,4,667,8820,12229,91,0,0,1,0,all_other
1,0,125,11,1,767,2485,2325,8,0,0,0,0,all_other
1,0,262,11,5,687,1949,14653,95,0,0,0,1,all_other
1,0,236,11,6,742,3149,4286,40,0,0,0,0,credit_card
1,0,266,11,16,677,1949,8009,68,0,0,0,0,debt_consolidation
1,0,101,10,3,742,2550,2353,12,0,0,0,1,debt_consolidation
1,0,219,11,10,767,4410,6634,9,0,0,0,0,debt_consolidation
1,0,39,10,20,702,4529,0,0,0,0,0,0,debt_consolidation
1,0,247,11,15,682,3329,5608,47,0,0,0,0,credit_card
1,0,674,11,19,682,4830,13649,42,1,0,0,1,debt_consolidation
1,0,80,11,15,677,4140,9973,34,0,0,0,0,all_other
1,0,499,11,18,677,2609,16502,63,0,0,0,0,debt_consolidation
1,0,692,11,7,667,3899,15773,95,0,0,0,1,debt_consolidation
1,0,801,11,2,777,4559,3326,14,6,0,0,0,small_business
1,0,290,10,5,712,1620,7263,39,0,0,0,0,debt_consolidation
1,0,265,11,13,767,7560,3451,19,0,0,0,0,all_other
1,0,117,11,13,662,9659,16770,51,0,0,0,0,debt_consolidation
1,0,294,10,8,692,2429,17042,75,0,0,0,0,all_other
1,0,563,11,20,697,4560,10686,49,0,0,0,0,major_purchase
1,0,319,12,0,732,3600,45,0,0,0,0,0,credit_card
1,0,231,10,16,717,1800,3247,33,1,0,0,0,all_other
1,0,730,11,22,677,2640,27839,73,0,1,0,0,debt_consolidation
1,0,312,12,3,807,5160,0,0,1,0,0,0,all_other
1,0,251,11,10,757,13109,17246,14,1,0,0,0,major_purchase
1,0,514,11,19,667,6209,14036,64,0,0,0,0,debt_consolidation
1,0,16,10,14,692,4919,5643,61,0,0,0,0,small_business
1,0,372,11,21,697,4710,17850,66,1,0,0,0,debt_consolidation
1,0,320,11,8,722,2340,8382,20,1,0,0,0,debt_consolidation
1,0,504,11,23,662,6690,24280,93,3,0,0,0,small_business
1,0,414,10,12,677,2970,8375,91,3,0,0,0,debt_consolidation
1,0,485,11,20,742,2763,6437,29,4,0,0,0,all_other
1,0,308,11,20,697,6392,16890,64,0,0,0,0,credit_card
1,0,131,10,0,682,1290,887,39,0,0,0,0,all_other
1,0,371,11,18,667,3269,17771,52,2,0,0,1,debt_consolidation
1,0,539,11,15,677,8159,13115,42,2,2,0,0,debt_consolidation
1,0,312,10,0,787,3809,5028,12,0,0,0,1,major_purchase
1,0,70,9,19,692,2399,1,0,2,0,1,1,all_other
1,0,441,11,13,702,2130,10251,33,0,0,0,0,debt_consolidation
1,0,175,11,17,727,4590,6566,49,1,0,0,0,all_other
1,0,195,11,5,687,4464,9516,63,1,0,0,0,all_other
1,0,165,11,0,672,2520,2126,6,1,0,0,0,debt_consolidation
1,0,406,11,5,662,2849,7209,38,1,0,0,1,debt_consolidation
1,0,83,11,19,677,4319,7180,34,3,0,0,1,debt_consolidation
1,0,189,11,12,727,2550,7386,42,0,0,0,0,debt_consolidation
1,0,57,10,12,772,5970,6035,19,0,0,0,0,all_other
1,0,338,12,6,662,6150,28653,89,0,0,0,1,small_business
1,0,499,12,16,682,9150,49459,89,1,2,0,0,debt_consolidation
1,0,738,11,13,697,5100,22738,31,0,1,0,0,credit_card
1,0,306,11,13,742,5250,24406,40,1,0,0,1,credit_card
1,0,593,10,16,747,4260,25946,38,0,0,0,0,debt_consolidation
1,0,611,11,10,732,5940,0,0,0,0,0,0,all_other
1,0,461,11,10,732,5250,4765,16,0,0,1,0,debt_consolidation
1,0,842,11,15,662,3420,15222,77,0,2,0,0,debt_consolidation
1,0,245,11,2,687,9480,8035,50,1,1,1,0,small_business
1,0,453,11,17,722,4800,14214,39,0,0,0,1,debt_consolidation
1,0,650,12,16,732,5129,23442,42,2,0,0,0,debt_consolidation
1,0,227,12,15,742,4919,101443,14,6,0,0,0,credit_card
1,0,499,12,14,677,4439,25988,99,1,0,0,0,debt_consolidation
1,0,881,12,25,682,7619,51039,94,0,1,0,1,debt_consolidation
1,0,659,11,10,702,5999,23370,70,1,0,0,0,debt_consolidation
1,0,232,12,15,692,6629,119420,95,0,0,0,0,all_other
1,0,259,11,9,702,3946,0,0,0,0,0,0,all_other
1,0,157,11,11,677,2729,15564,57,1,0,0,0,debt_consolidation
1,0,300,11,22,677,5069,13686,49,1,0,0,0,debt_consolidation
